title,price,area,bedrooms,bathrooms,parking,floors,road_ft,facing,condition,seller,detail_url,location_Bhaktapur,location_Kathmandu,location_Lalitpur,location_Pokhara
Brand New Semi Bunglow House For Sale at Tokha,33000000,3.75,6,4,1,3.0,13,West,Brand New,Sagun Homes,https://hamrobazaar.com/detail/FBBEF8C0-6401-8B2D-5ED5-D66CE234D031,0,1,0,0
house for sale in bhangal,40000000,0.0,0,1,0,2.0,0,Unknown,Like New,Dinesh bhandari,https://hamrobazaar.com/detail/DAFB60C4-014D-0272-5CEB-8FC8DAB91A7B,0,1,0,0
"Brand New Semi Bunglow On Sale at Tokha, Grande",34000000,3.5,6,4,1,3.0,13,East North,Brand New,Sagun Homes,https://hamrobazaar.com/detail/6CB56D06-F3F9-F261-3C25-2E8F269829C7,0,1,0,0
"House on sale at Budhanilkantha, Kathmandu",29500000,3.0,6,4,1,0.0,0,Unknown,Brand New,INDUS PROPERTY NEPAL PVT.LTD,https://hamrobazaar.com/detail/8FC5C4EE-8678-7230-25C0-32BAC4B52A2F,0,1,0,0
"New House For Sale at Tokha, Bhatkeko Pul",30000000,4.25,6,3,1,2.0,16,Unknown,Like New,Sagun Homes,https://hamrobazaar.com/detail/D06F40E5-9164-E359-4A55-BF55B5CA2677,0,1,0,0
"House For Sale at Basundhara, GreenCity Hospital",32500000,3.0,10,4,1,4.0,13,Unknown,Like New,Sagun Homes,https://hamrobazaar.com/detail/3072881F-AC84-72F8-23F1-4F151C49F424,0,1,0,0
"New House For Sale at Tokha, MeghaCity Height",17500000,4.0,2,2,1,1.0,13,North,Like New,Sagun Homes,https://hamrobazaar.com/detail/D3932A18-F764-024F-CB88-71DFE9409706,0,1,0,0
Full Furnished Bunglow On Sale at Budhanilkantha,66000000,18.5,5,2,1,2.5,16,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/6C0089C5-F9D2-F035-4258-C5F9C9E1284A,0,1,0,0
"Bunglow House On Sale at Badeli, Budhanilkantha",104500000,17.0,6,3,1,3.0,20,South,Like New,Sagun Homes,https://hamrobazaar.com/detail/FBF2BA11-C8B2-E6DB-3780-EC797775C7FA,0,1,0,0
"Brand New House On Sale at Bhangal, Budhanilkantha",26000000,0.0,6,3,1,3.0,20,South,Brand New,Sagun Homes,https://hamrobazaar.com/detail/EF21133F-C11D-337C-F6AC-AAE2E5DC0E56,0,1,0,0
IMADOL | 3BHK FULLY FURNISHED BUNGALOW FOR SALE,39600000,0.0,0,0,0,0.0,0,Unknown,Like New,Alpha Properties,https://hamrobazaar.com/detail/64C91AFC-0B53-7651-82C6-3800B2C06B36,0,0,1,0
"Brand New House For Sale at Manamaiju, Sangam Fhat",30000000,3.25,7,2,1,3.0,14,East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/3663C4C5-1DB8-2F3F-E87E-3E63D3786E18,0,1,0,0
"Semi Bunglow House On Sale at Manamaiju, Phutung",35000000,4.0,6,3,1,3.0,13,East North,Like New,Sagun Homes,https://hamrobazaar.com/detail/BBACF387-BDA0-63D9-1621-A6C5EBD577C3,0,1,0,0
"House For Sale at Baluwatar, Kathmandu",35000000,0.0,5,3,1,2.5,13,Unknown,Like New,Sagun Homes,https://hamrobazaar.com/detail/8CAB17BF-6B1D-5CE9-8A3F-DE2EE23DD2AA,0,1,0,0
Commercial Building On Sale at Chandol,52500000,4.0,14,4,1,3.0,24,South,Like New,Sagun Homes,https://hamrobazaar.com/detail/E7604AFB-FCC9-043C-FED5-2F50826C016C,0,1,0,0
"New Semi Bunglow House On Sale at Tokha, Sur",44000000,4.5,7,3,1,3.0,16,North West,Like New,Sagun Homes,https://hamrobazaar.com/detail/49547BA8-14F4-4BF8-043B-58AFB15F930C,0,1,0,0
"House For Sale at Tokha, Saibaba Chowk",22000000,3.0,6,3,1,2.5,13,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/DADC40FA-97B2-320F-C253-C2D626382C79,0,1,0,0
"New House For Sale at Samakhusi, Greenland",30000000,9.25,6,3,1,3.0,13,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/6437CB77-066B-C410-E250-0891D3D0FC6B,0,1,0,0
"New House For Sale at Tokha, MeghaCity",23500000,3.0,7,3,1,3.0,20,West,Like New,Sagun Homes,https://hamrobazaar.com/detail/CA152C5F-F6DA-65B4-927E-C8F04717296D,0,1,0,0
1.5 storey house located at Nakhipot Kantipur Colo,25000000,0.0,0,0,0,0.0,0,Unknown,Like New,HouseSale,https://hamrobazaar.com/detail/091C334E-05E6-FC6D-125C-5E44567F6EFA,0,0,1,0
Bunglow House On Sale at Basundhara,70000000,10.0,6,3,1,2.5,14,South,Like New,Sagun Homes,https://hamrobazaar.com/detail/18EB8483-C929-AD26-5614-37E8851A03A8,0,1,0,0
"Brand New Semi Bunglow On Sale at Tokha, Grande",52000000,0.0,6,3,1,3.0,13,North East,Brand New,Sagun Homes,https://hamrobazaar.com/detail/CDAE9A54-127B-D87A-1892-123B47E4B2A2,0,1,0,0
"New House For Sale at Tokha, Suryadarshan",31000000,4.0,7,3,1,3.0,13,West South West,Like New,Sagun Homes,https://hamrobazaar.com/detail/114BD864-C8FB-CB64-6157-C67A47131948,0,1,0,0
"Bunglow House On Sale at Budhanilkantha, Nilopul",50000000,7.0,5,3,1,3.0,13,Sout,Brand New,Sagun Homes,https://hamrobazaar.com/detail/53FFA30F-C493-4FD7-FC67-510C9C0F4F1E,0,1,0,0
Brand New Semi Bunglow On Sale at Budhanilkantha,48900000,5.0,6,3,1,3.0,23,South,Brand New,Sagun Homes,https://hamrobazaar.com/detail/F41EF232-D627-A8CA-F386-EDE4908D17D2,0,1,0,0
"House For Sale at Hattigauda, Budhanilkantha",38500000,5.5,8,3,1,3.5,13,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/555E331F-F908-42CB-29E2-0A59F77040D3,0,1,0,0
Bunglow House On Sale at Budhanilkantha,40000000,7.0,6,3,1,3.0,20,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/349E4D51-374E-24B6-E04A-173302425E60,0,1,0,0
"House For Sale at Ganesh Chowk, Budhanilkantha",38000000,6.25,7,3,1,3.0,16,East,Like New,Sagun Homes,https://hamrobazaar.com/detail/B4B713C2-2434-AAA0-FB0B-5E4BA592D361,0,1,0,0
Bunglow House On Sale at Budhanilkantha,99900000,13.0,6,2,1,4.0,20,North,Like New,Sagun Homes,https://hamrobazaar.com/detail/EC7039FA-25B5-A17F-147F-D30FD8714BFB,0,1,0,0
